Title,Company,Location,Stipend,Source,Scam_Indicator_Flag
N/A,"CREATE                        
Actively hiring",N/A,"₹ 5,000 - 15,000 /month",Internshala,Needs Review
N/A,"Edify Equity                        
Actively hiring",N/A,"₹ 1,000 - 1,100 /month",Internshala,Needs Review
N/A,"Career-Domain                        
Actively hiring",N/A,"₹ 2,000 - 5,000 /month",Internshala,Needs Review
N/A,"Skill Bharat Association                        
Actively hiring",N/A,Unpaid,Internshala,Needs Review
N/A,"StoryBizz Media Private Limited                        
Actively hiring",N/A,"₹ 10,000 - 25,000 /month",Internshala,Needs Review
N/A,"Emoolar Technology Private Limited                        
Actively hiring",N/A,"₹ 2,000 - 2,500 /month",Internshala,Needs Review
N/A,"STEMpedia                        
Actively hiring",N/A,"₹ 10,000 - 15,000 /month",Internshala,Needs Review
N/A,"Sankar Group                        
Actively hiring",N/A,"₹ 3,000 - 3,001 /month",Internshala,Needs Review
N/A,"Unimonks                        
Actively hiring",N/A,"₹ 4,500 - 9,000 /month",Internshala,Needs Review
N/A,"Emoolar Technology Private Limited                        
Actively hiring",N/A,"₹ 2,000 - 2,500 /month",Internshala,Needs Review
N/A,Trekion AI,N/A,"₹ 15,000 - 20,000 /month",Internshala,Needs Review
N/A,Founding Years Learning Solutions Private Limited,N/A,"₹ 15,000 - 25,000 /month",Internshala,Needs Review
N/A,VIZON,N/A,"₹ 13,000 - 21,000 /month",Internshala,Needs Review
N/A,"Shunya Digital                        
Actively hiring",N/A,"₹ 3,100 - 5,001 /month",Internshala,Needs Review
N/A,VIZON,N/A,"₹ 10,000 - 17,000 /month",Internshala,Needs Review
N/A,"Shunya Digital                        
Actively hiring",N/A,"₹ 10,000 - 28,000 /month",Internshala,Needs Review
N/A,"Raviraj Sarees Pvt Ltd                        
Actively hiring",N/A,"₹ 6,000 - 8,000 /month",Internshala,Needs Review
N/A,Thinkpond Services Private Limited,N/A,"₹ 15,000 - 30,000 /month",Internshala,Needs Review
N/A,Indian Cat Litter Company,N/A,"₹ 7,500 - 10,000 /month",Internshala,Needs Review
N/A,DigiHari Seva Solutions (Dhurva Tech Pvt Ltd),N/A,"₹ 1,000 /month",Internshala,Needs Review
N/A,Vivek ChhimPa,N/A,"₹ 2,000 - 10,000 /month",Internshala,Needs Review
N/A,TRIKSHA,N/A,"₹ 10,000 /month",Internshala,Needs Review
N/A,Jaipur SEO Company,N/A,"₹ 5,000 - 20,000 /month",Internshala,Needs Review
N/A,CleverTap,N/A,"₹ 20,000 - 25,000 /month",Internshala,Needs Review
N/A,ZRPL,N/A,"₹ 15,000 - 20,000 /month",Internshala,Needs Review
N/A,Trading Smart Edge,N/A,"₹ 8,000 - 13,000 /month",Internshala,Needs Review
N/A,DIGI VIPANAN,N/A,"₹ 3,000 - 5,000 /month",Internshala,Needs Review
N/A,Nexvora Outsourcing Pvt. Ltd.,N/A,"₹ 2,500 /month",Internshala,Needs Review
N/A,LI Blocks Private Limited,N/A,"₹ 5,000 - 12,000 /month",Internshala,Needs Review
N/A,BiriyaniBoys Productions House LLP,N/A,"₹ 7,000 - 8,000 /month",Internshala,Needs Review
N/A,Balaji Telefilms Limited,N/A,"₹ 7,500 - 10,000 /month",Internshala,Needs Review
N/A,Codemesh Systems LLP,N/A,"₹ 12,000 - 18,000 /month",Internshala,Needs Review
N/A,Qodeit,N/A,"₹ 3,000 - 5,000 /month",Internshala,Needs Review
N/A,Gaadimech Technology Private Limited,N/A,"₹ 8,000 - 12,000 /month",Internshala,Needs Review
N/A,Analyttica Datalab,N/A,Competitive stipend,Internshala,Needs Review
N/A,Turing,N/A,Competitive stipend,Internshala,Needs Review
N/A,Techolution,N/A,Competitive stipend,Internshala,Needs Review
N/A,Quantiphi,N/A,Competitive stipend,Internshala,Needs Review
N/A,True Tech Professionals,N/A,Competitive stipend,Internshala,Needs Review
N/A,Medoria,N/A,"₹ 5,000 - 6,000 /month",Internshala,Needs Review
N/A,Jobyaan,N/A,"₹ 10,000 - 15,000 /month",Internshala,Needs Review
N/A,Smartly Disruptive Technologies Private Limited,N/A,"₹ 20,000 - 22,000 /month",Internshala,Needs Review
N/A,USP Polymers LLP,N/A,"₹ 5,000 - 7,000 /month",Internshala,Needs Review
N/A,"Maxgen Technologies Private Limited                        
Actively hiring",N/A,"₹ 5,000 - 12,000 /month",Internshala,Needs Review
N/A,"Maxgen Technologies Private Limited                        
Actively hiring",N/A,"₹ 5,000 - 12,000 /month",Internshala,Needs Review
N/A,Rakhshay School Of Skills,N/A,"₹ 1,100 - 1,300 /month",Internshala,Needs Review
N/A,"CareerNest                        
Actively hiring",N/A,"₹ 10,000 - 25,000 /month",Internshala,Needs Review
N/A,"Inorbvict Healthcare India Private Limited                        
Actively hiring",N/A,"₹ 6,000 - 6,001 /month",Internshala,Needs Review
N/A,"Qubixo                        
Actively hiring",N/A,"₹ 10,000 - 20,000 /month",Internshala,Needs Review
N/A,"Qubixo                        
Actively hiring",N/A,"₹ 10,000 - 20,000 /month",Internshala,Needs Review
N/A,Smartly Disruptive Technologies Private Limited,N/A,"₹ 20,000 - 22,000 /month",Internshala,Needs Review
N/A,USP Polymers LLP,N/A,"₹ 5,000 - 7,000 /month",Internshala,Needs Review
N/A,"Maxgen Technologies Private Limited                        
Actively hiring",N/A,"₹ 5,000 - 12,000 /month",Internshala,Needs Review
N/A,"Maxgen Technologies Private Limited                        
Actively hiring",N/A,"₹ 5,000 - 12,000 /month",Internshala,Needs Review
N/A,Rakhshay School Of Skills,N/A,"₹ 1,100 - 1,300 /month",Internshala,Needs Review
N/A,"CareerNest                        
Actively hiring",N/A,"₹ 10,000 - 25,000 /month",Internshala,Needs Review
N/A,"Inorbvict Healthcare India Private Limited                        
Actively hiring",N/A,"₹ 6,000 - 6,001 /month",Internshala,Needs Review
N/A,"Qubixo                        
Actively hiring",N/A,"₹ 10,000 - 20,000 /month",Internshala,Needs Review
N/A,"Qubixo                        
Actively hiring",N/A,"₹ 10,000 - 20,000 /month",Internshala,Needs Review
N/A,IT-Infotek,N/A,"₹ 1,500 /week",Internshala,Needs Review
N/A,Ufeus,N/A,"₹ 10,000 - 15,000 /month",Internshala,Needs Review
N/A,"Stackwise                        
Actively hiring",N/A,"₹ 25,000 /month",Internshala,Needs Review
N/A,"MyCloud Technology                        
Actively hiring",N/A,"₹ 8,500 - 16,000 /month",Internshala,Needs Review
N/A,"MyCloud Technology                        
Actively hiring",N/A,"₹ 8,500 - 16,000 /month",Internshala,Needs Review
N/A,"Jobyaari                        
Actively hiring",N/A,"₹ 2,000 - 4,000 /month",Internshala,Needs Review
N/A,"Awarno                        
Actively hiring",N/A,"₹ 10,000 - 20,000 /month",Internshala,Needs Review
N/A,"Unnati Enterprises                        
Actively hiring",N/A,"₹ 40,000 /month",Internshala,Needs Review
N/A,"Peeko                        
Actively hiring",N/A,"₹ 30,000 - 35,000 /month",Internshala,Needs Review
N/A,"ABUEM WORKIFYING LLP                        
Actively hiring",N/A,"₹ 25,000 - 27,000 /month",Internshala,Needs Review
N/A,"Lobo Worldwide (Toronto, Canada)                        
Actively hiring",N/A,"₹ 5,000 /month",Internshala,Needs Review
N/A,"Sybrant Technologies Private Limited                        
Actively hiring",N/A,"₹ 8,000 - 15,000 /month",Internshala,Needs Review
N/A,"AndOr Communications Private Limited                        
Actively hiring",N/A,"₹ 20,000 - 20,001 /month",Internshala,Needs Review
N/A,Kidvento Education And Research Private Limited,N/A,"₹ 8,000 - 10,000 /month",Internshala,Needs Review
N/A,Main Marshals,N/A,"₹ 8,000 - 12,000 /month",Internshala,Needs Review
N/A,The Agency Source,N/A,"₹ 10,000 /month",Internshala,Needs Review
N/A,"Solvitude                        
Actively hiring",N/A,"₹ 13,500 - 23,000 /month",Internshala,Needs Review
N/A,"Dobby Ads                        
Actively hiring",N/A,"₹ 15,000 - 18,000 /month",Internshala,Needs Review
N/A,"Euphotic Labs Private Limited                        
Actively hiring",N/A,"₹ 15,000 - 25,000 /month",Internshala,Needs Review
N/A,"Dharsha Advisors                        
Actively hiring",N/A,"₹ 10,000 - 15,000 /month",Internshala,Needs Review
N/A,"Orange Technologies                        
Actively hiring",N/A,"₹ 45,000 - 1,80,000 /month",Internshala,Needs Review
N/A,"Samaadhaan                        
Actively hiring",N/A,"₹ 15,000 - 25,000 /month",Internshala,Needs Review
N/A,"TESK Labs                        
Actively hiring",N/A,"₹ 7,000 - 15,000 /month",Internshala,Needs Review
N/A,StratSync,N/A,"₹ 15,000 - 20,000 /month",Internshala,Needs Review
